Date,Open,High,Low,Close,Volume,Trend,Nextdaytrend
170107,251.95,254.14,247.44,248.89,6708439,0,0
160107,254.03,256.76,251.9,252.39,7579201,0,1
120107,251.25,252.75,250.25,252.75,4475211,1,1
110107,248.85,251.13,248.34,250.11,7227025,1,1
100107,242.46,247.02,241.26,244.97,5978283,1,1
90107,242.97,244.37,240.84,242.99,5383043,1,0
80107,244.09,245.18,241.34,242.03,4756244,0,1
50107,241.49,243.99,239.29,243.84,6874670,1,1
40107,234.73,242.22,234.41,241.87,7916458,1,1
30107,233.23,238.57,230.79,234.03,7722839,1,0
291206,231.28,232.47,230.16,230.47,2559612,0,0
281206,233.79,234.52,231.36,231.51,3140196,0,1
271206,230.23,234.27,229.78,234.25,4232499,1,1
261206,228.49,229.96,227.52,228.99,2075834,1,0
221206,228.98,229.55,226.59,228.02,3989025,0,0
211206,232.32,232.86,226.4,228.33,6964912,0,0
201206,235.23,235.99,231.4,231.68,4382715,0,1
191206,231.09,234.89,229.48,234.55,6590738,1,0
181206,241.49,241.61,230.59,231.63,8019415,0,0
151206,241.56,242.3,240.16,240.39,5249098,0,1
141206,240.37,242.12,238.87,241.3,4759376,1,0
131206,242.59,242.99,238.75,239.73,4664176,0,0
121206,242.17,243.42,240.38,241.13,4213915,0,0
111206,242.7,244.69,242.14,242.21,3265994,0,1
81206,241.21,244.54,240.24,242.3,3976769,1,0
71206,245.36,246.15,241.45,241.56,4664925,0,1
61206,243.72,246.45,242.5,244.6,4452242,1,0
51206,243.94,244.96,242.69,243.74,4104051,0,1
41206,241.74,243.96,239.91,242.67,4908948,1,0
11206,243.23,244.44,239.49,240.64,5632131,0,1
301106,242.34,245.45,241.02,242.65,5578592,1,0
291106,247.37,247.62,241.37,242.57,6316158,0,1
281106,240.81,245.17,238.75,244.99,7805521,1,0
271106,250.94,251.14,242.62,242.62,7328930,0,1
241106,252.5,254,252.3,252.8,1734759,1,0
221106,255.74,256.76,253.14,254.26,4502581,0,1
211106,248.52,255.25,248.16,255.08,8437379,1,0
201106,249.45,249.45,246.57,247.77,5125836,0,1
171106,246.87,250.08,246.75,249.64,5523304,1,1
161106,247.75,249.09,246.53,248.2,5095517,1,0
